match_id	round	describer	guesser
8fcwqowm	r03	participant_en_in_003	participant_en_in_011
8fcwqowm	r04	participant_en_in_011	participant_en_in_003
8kyo8kbk	r00	participant_en_in_006	participant_en_in_009
8kyo8kbk	r03	participant_en_in_009	participant_en_in_006
8kyo8kbk	r04	participant_en_in_006	participant_en_in_009
8v89jv2b	r00	participant_en_in_014	participant_en_in_018
8v89jv2b	r01	participant_en_in_018	participant_en_in_014
8v89jv2b	r02	participant_en_in_014	participant_en_in_018
8v89jv2b	r03	participant_en_in_018	participant_en_in_014
8v89jv2b	r04	participant_en_in_014	participant_en_in_018
8vtt9w6d	r00	participant_en_in_002	participant_en_in_018
99oa08is	r01	participant_en_in_008	participant_en_in_000
99oa08is	r02	participant_en_in_000	participant_en_in_008
99oa08is	r04	participant_en_in_000	participant_en_in_008
aeu8hb63	r00	participant_en_in_017	participant_en_in_018
aeu8hb63	r02	participant_en_in_017	participant_en_in_018
aeu8hb63	r03	participant_en_in_018	participant_en_in_017
aeu8hb63	r04	participant_en_in_017	participant_en_in_018
ap009b7b	r00	participant_en_in_015	participant_en_in_021
ar5743ky	r00	participant_en_in_020	participant_en_in_019
az2d5v9v	r00	participant_en_in_005	participant_en_in_025
az2d5v9v	r01	participant_en_in_025	participant_en_in_005
az2d5v9v	r02	participant_en_in_005	participant_en_in_025
az2d5v9v	r03	participant_en_in_025	participant_en_in_005
az2d5v9v	r04	participant_en_in_005	participant_en_in_025
b98x6wl7	r00	participant_en_in_024	participant_en_in_025
b98x6wl7	r01	participant_en_in_025	participant_en_in_024
c4gv6jz2	r00	participant_en_in_020	participant_en_in_008
c94jsu4s	r00	participant_en_in_026	participant_en_in_012
cat80g8y	r00	participant_en_in_022	participant_en_in_002
cat80g8y	r01	participant_en_in_002	participant_en_in_022
cat80g8y	r02	participant_en_in_022	participant_en_in_002
cat80g8y	r03	participant_en_in_002	participant_en_in_022
cat80g8y	r04	participant_en_in_022	participant_en_in_002
d6mm3ola	r00	participant_en_in_005	participant_en_in_018
d6mm3ola	r01	participant_en_in_018	participant_en_in_005
d6mm3ola	r02	participant_en_in_005	participant_en_in_018
d6mm3ola	r03	participant_en_in_018	participant_en_in_005
d6mm3ola	r04	participant_en_in_005	participant_en_in_018
djwcoan0	r01	participant_en_in_025	participant_en_in_022
djwcoan0	r02	participant_en_in_022	participant_en_in_025
dwmqwtdg	r00	participant_en_in_004	participant_en_in_025
dwmqwtdg	r01	participant_en_in_025	participant_en_in_004
dwmqwtdg	r02	participant_en_in_004	participant_en_in_025
dwmqwtdg	r03	participant_en_in_025	participant_en_in_004
dwmqwtdg	r04	participant_en_in_004	participant_en_in_025
e8rznyof	r00	participant_en_in_023	participant_en_in_019
e8rznyof	r01	participant_en_in_019	participant_en_in_023
e8rznyof	r02	participant_en_in_023	participant_en_in_019
e8rznyof	r03	participant_en_in_019	participant_en_in_023
e8rznyof	r04	participant_en_in_023	participant_en_in_019
eazsmxi9	r00	participant_en_in_020	participant_en_in_007
eazsmxi9	r02	participant_en_in_020	participant_en_in_007
eazsmxi9	r03	participant_en_in_007	participant_en_in_020
eazsmxi9	r04	participant_en_in_020	participant_en_in_007
ecgznlad	r00	participant_en_in_011	participant_en_in_024
eqa3qb6u	r00	participant_en_in_013	participant_en_in_021
euwjjcge	r00	participant_en_in_002	participant_en_in_018
euwjjcge	r01	participant_en_in_018	participant_en_in_002
euwjjcge	r02	participant_en_in_002	participant_en_in_018
euwjjcge	r03	participant_en_in_018	participant_en_in_002
euwjjcge	r04	participant_en_in_002	participant_en_in_018
ex5khl6g	r00	participant_en_in_017	participant_en_in_025
ex5khl6g	r01	participant_en_in_025	participant_en_in_017
ex5khl6g	r02	participant_en_in_017	participant_en_in_025
ex5khl6g	r03	participant_en_in_025	participant_en_in_017
ex5khl6g	r04	participant_en_in_017	participant_en_in_025
f2ld91ug	r00	participant_en_in_016	participant_en_in_015
f2ld91ug	r04	participant_en_in_016	participant_en_in_015
f3sptm6u	r01	participant_en_in_021	participant_en_in_010
f3sptm6u	r02	participant_en_in_010	participant_en_in_021
f3sptm6u	r03	participant_en_in_021	participant_en_in_010
f3sptm6u	r04	participant_en_in_010	participant_en_in_021
