clip_identifier	duration	match_id	round	prompt_id	game_type	correct_word/image	distractors	prompt_status	prompt_num
0g17psc4_r02_s0_p001	26	0g17psc4	r02	taboo_en_p0147	word	Spring	['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']	win	1
0g17psc4_r02_s0_p002	76	0g17psc4	r02	taboo_en_p0384	word	Brock Lesnar	['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']	win	2
0g17psc4_r02_s0_p003	28	0g17psc4	r02	taboo_en_p2468	word	Pyramid	['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']	win	3
0g17psc4_r02_s0_p004	24	0g17psc4	r02	taboo_en_p2081	word	Clothing	['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']	win	4
0g17psc4_r03_s0_p000	45	0g17psc4	r03	taboo_en_p0288	word	Elizabeth II	['United Kingdom', 'Heir', 'Royalty', 'Crown', 'Queen']	loss	0
0g17psc4_r03_s0_p001	42	0g17psc4	r03	taboo_en_p2442	word	Pixel	['Screen', 'Dot', 'Square', 'Color', 'Video']	win	1
0g17psc4_r03_s0_p002	48	0g17psc4	r03	taboo_en_p0049	word	Recital	['Concert', 'Instruments', 'Stage', 'Performance', 'Music']	skip	2
0g17psc4_r03_s0_p003	56	0g17psc4	r03	taboo_en_p2056	word	Castration	['Male', 'Reproductive', 'Cut', 'Surgical', 'Chemical']	skip	3
0g17psc4_r04_s0_p000	39	0g17psc4	r04	image_p41018	image	/ifood/kedgeree/train_029628.jpg	['/ifood/kedgeree/train_029534.jpg', '/ifood/kedgeree/train_029563.jpg', '/ifood/kedgeree/train_029735.jpg', '/ifood/kedgeree/train_029764.jpg', '/ifood/kedgeree/train_029676.jpg', '/ifood/kedgeree/train_029638.jpg', '/ifood/kedgeree/train_029739.jpg', '/ifood/kedgeree/train_029873.jpg', '/ifood/kedgeree/train_029592.jpg', '/ifood/kedgeree/train_029747.jpg', '/ifood/kedgeree/train_029565.jpg']	loss	0
0g17psc4_r04_s0_p001	32	0g17psc4	r04	image_p0419	image	/ifood/dumpling/train_085428.jpg	['/ifood/dumpling/train_085629.jpg', '/ifood/dumpling/train_085855.jpg', '/ifood/dumpling/train_085810.jpg', '/ifood/dumpling/train_085350.jpg', '/ifood/dumpling/train_085797.jpg', '/ifood/dumpling/train_085339.jpg', '/ifood/dumpling/train_085633.jpg', '/ifood/dumpling/train_085720.jpg', '/ifood/dumpling/train_085721.jpg', '/ifood/dumpling/train_085690.jpg', '/ifood/dumpling/train_085773.jpg']	loss	1
0g17psc4_r04_s0_p002	24	0g17psc4	r04	image_p10009	image	/ifood/mussel/train_064428.jpg	['/ifood/mussel/train_064286.jpg', '/ifood/mussel/train_064326.jpg', '/ifood/mussel/train_064310.jpg', '/ifood/mussel/train_064212.jpg', '/ifood/mussel/train_064355.jpg', '/ifood/mussel/train_064540.jpg', '/ifood/mussel/train_064302.jpg', '/ifood/mussel/train_064427.jpg', '/ifood/mussel/train_064258.jpg', '/ifood/mussel/train_064439.jpg', '/ifood/mussel/train_064230.jpg']	loss	2
0g17psc4_r04_s0_p003	32	0g17psc4	r04	image_p17206	image	/dogs/Walker_hound/n02089867_277.jpg	['/dogs/Walker_hound/n02089867_1295.jpg', '/dogs/Walker_hound/n02089867_2472.jpg', '/dogs/Walker_hound/n02089867_857.jpg', '/dogs/Walker_hound/n02089867_814.jpg', '/dogs/Walker_hound/n02089867_1212.jpg', '/dogs/Walker_hound/n02089867_2267.jpg', '/dogs/Walker_hound/n02089867_126.jpg', '/dogs/Walker_hound/n02089867_1546.jpg', '/dogs/Walker_hound/n02089867_2221.jpg', '/dogs/Walker_hound/n02089867_2280.jpg', '/dogs/Walker_hound/n02089867_1368.jpg']	loss	3
0g17psc4_r04_s0_p004	15	0g17psc4	r04	image_p47324	image	/birds/Indigo_Bunting/Indigo_Bunting_0044_14389.jpg	['/birds/Indigo_Bunting/Indigo_Bunting_0053_13391.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0024_13523.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0058_12207.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0065_14558.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0072_14197.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0026_11964.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0074_12829.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0051_12837.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0014_14167.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0047_12966.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0076_12950.jpg']	win	4
0g17psc4_r04_s0_p005	21	0g17psc4	r04	image_p26178	image	/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0004_29701.jpg	['/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0028_29696.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0066_29488.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0124_29294.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0033_29959.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0089_29592.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0031_29825.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0030_29645.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0099_29305.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0084_29716.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0132_29300.jpg', '/birds/Great_Crested_Flycatcher/Great_Crested_Flycatcher_0139_29302.jpg']	win	5
0g17psc4_r04_s0_p006	16	0g17psc4	r04	image_p33126	image	/ifood/kedgeree/train_029553.jpg	['/ifood/kedgeree/train_029855.jpg', '/ifood/kedgeree/train_029628.jpg', '/ifood/kedgeree/train_029813.jpg', '/ifood/kedgeree/train_029585.jpg', '/ifood/kedgeree/train_029671.jpg', '/ifood/kedgeree/train_029599.jpg', '/ifood/kedgeree/train_029563.jpg', '/ifood/kedgeree/train_029819.jpg', '/ifood/kedgeree/train_029746.jpg', '/ifood/kedgeree/train_029618.jpg', '/ifood/kedgeree/train_029881.jpg']	win	6
0g17psc4_r04_s0_p007	14	0g17psc4	r04	image_p7313	image	/birds/Indigo_Bunting/Indigo_Bunting_0044_14389.jpg	['/birds/Indigo_Bunting/Indigo_Bunting_0084_11848.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0059_11596.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0004_13195.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0021_13979.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0013_12949.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0050_11811.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0076_12950.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0001_12469.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0065_14558.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0005_13832.jpg', '/birds/Indigo_Bunting/Indigo_Bunting_0061_13259.jpg']	win	7
0g17psc4_r04_s0_p008	24	0g17psc4	r04	image_p44301	image	/dogs/Bouvier_des_Flandres/n02106382_4177.jpg	['/dogs/Bouvier_des_Flandres/n02106382_1440.jpg', '/dogs/Bouvier_des_Flandres/n02106382_4243.jpg', '/dogs/Bouvier_des_Flandres/n02106382_1151.jpg', '/dogs/Bouvier_des_Flandres/n02106382_6601.jpg', '/dogs/Bouvier_des_Flandres/n02106382_2343.jpg', '/dogs/Bouvier_des_Flandres/n02106382_7088.jpg', '/dogs/Bouvier_des_Flandres/n02106382_3014.jpg', '/dogs/Bouvier_des_Flandres/n02106382_9317.jpg', '/dogs/Bouvier_des_Flandres/n02106382_1806.jpg', '/dogs/Bouvier_des_Flandres/n02106382_7656.jpg', '/dogs/Bouvier_des_Flandres/n02106382_3704.jpg']	loss	8
0g17psc4_r04_s0_p009	24	0g17psc4	r04	image_p4183	image	/dogs/Brittany_spaniel/n02101388_6143.jpg	['/dogs/Brittany_spaniel/n02101388_8914.jpg', '/dogs/Brittany_spaniel/n02101388_3036.jpg', '/dogs/Brittany_spaniel/n02101388_6494.jpg', '/dogs/Brittany_spaniel/n02101388_9968.jpg', '/dogs/Brittany_spaniel/n02101388_2737.jpg', '/dogs/Brittany_spaniel/n02101388_454.jpg', '/dogs/Brittany_spaniel/n02101388_6538.jpg', '/dogs/Brittany_spaniel/n02101388_2159.jpg', '/dogs/Brittany_spaniel/n02101388_5816.jpg', '/dogs/Brittany_spaniel/n02101388_1842.jpg', '/dogs/Brittany_spaniel/n02101388_190.jpg']	loss	9
0g17psc4_r04_s0_p010	15	0g17psc4	r04	image_p21716	image	/dogs/African_hunting_dog/n02116738_6748.jpg	['/dogs/African_hunting_dog/n02116738_849.jpg', '/dogs/African_hunting_dog/n02116738_3720.jpg', '/dogs/African_hunting_dog/n02116738_2600.jpg', '/dogs/African_hunting_dog/n02116738_3365.jpg', '/dogs/African_hunting_dog/n02116738_9798.jpg', '/dogs/African_hunting_dog/n02116738_8226.jpg', '/dogs/African_hunting_dog/n02116738_6044.jpg', '/dogs/African_hunting_dog/n02116738_9333.jpg', '/dogs/African_hunting_dog/n02116738_3160.jpg', '/dogs/African_hunting_dog/n02116738_4461.jpg', '/dogs/African_hunting_dog/n02116738_6563.jpg']	win	10
0g17psc4_r04_s0_p011	25	0g17psc4	r04	image_p9036	image	/ifood/hummus/train_047201.jpg	['/ifood/hummus/train_047072.jpg', '/ifood/hummus/train_047349.jpg', '/ifood/hummus/train_047107.jpg', '/ifood/hummus/train_047077.jpg', '/ifood/hummus/train_047144.jpg', '/ifood/hummus/train_047235.jpg', '/ifood/hummus/train_047049.jpg', '/ifood/hummus/train_047137.jpg', '/ifood/hummus/train_047343.jpg', '/ifood/hummus/train_047513.jpg', '/ifood/hummus/train_047341.jpg']	loss	11
0iv2hqsg_r00_s1_p000	47	0iv2hqsg	r00	image_p36111	image	/ifood/bibimbap/train_087032.jpg	['/ifood/bibimbap/train_087199.jpg', '/ifood/bibimbap/train_087152.jpg', '/ifood/bibimbap/train_086906.jpg', '/ifood/bibimbap/train_086890.jpg', '/ifood/bibimbap/train_087044.jpg', '/ifood/bibimbap/train_086866.jpg', '/ifood/bibimbap/train_086761.jpg', '/ifood/bibimbap/train_086882.jpg', '/ifood/bibimbap/train_087206.jpg', '/ifood/bibimbap/train_086801.jpg', '/ifood/bibimbap/train_087155.jpg']	win	0
0iv2hqsg_r00_s1_p001	48	0iv2hqsg	r00	image_p35737	image	/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0015_795504.jpg	['/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0013_42769.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0049_42593.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0066_795514.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0029_795483.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0068_42701.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0012_795469.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0005_42627.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0048_795505.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0039_795471.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0054_42709.jpg', '/birds/Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0007_795491.jpg']	win	1
0iv2hqsg_r00_s1_p002	46	0iv2hqsg	r00	image_p45222	image	/birds/Lazuli_Bunting/Lazuli_Bunting_0034_14864.jpg	['/birds/Lazuli_Bunting/Lazuli_Bunting_0041_15152.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0074_14854.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0087_15096.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0102_14605.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0089_14598.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0032_14778.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0039_15081.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0056_15032.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0046_14787.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0067_14672.jpg', '/birds/Lazuli_Bunting/Lazuli_Bunting_0031_15018.jpg']	win	2
0iv2hqsg_r00_s1_p003	24	0iv2hqsg	r00	image_p30309	image	/dogs/Scottish_deerhound/n02092002_15010.jpg	['/dogs/Scottish_deerhound/n02092002_5437.jpg', '/dogs/Scottish_deerhound/n02092002_6180.jpg', '/dogs/Scottish_deerhound/n02092002_1564.jpg', '/dogs/Scottish_deerhound/n02092002_6625.jpg', '/dogs/Scottish_deerhound/n02092002_11428.jpg', '/dogs/Scottish_deerhound/n02092002_847.jpg', '/dogs/Scottish_deerhound/n02092002_6001.jpg', '/dogs/Scottish_deerhound/n02092002_3867.jpg', '/dogs/Scottish_deerhound/n02092002_6518.jpg', '/dogs/Scottish_deerhound/n02092002_14825.jpg', '/dogs/Scottish_deerhound/n02092002_1608.jpg']	win	3
0iv2hqsg_r00_s1_p004	38	0iv2hqsg	r00	image_p49949	image	/ifood/adobo/train_007866.jpg	['/ifood/adobo/train_007867.jpg', '/ifood/adobo/train_007818.jpg', '/ifood/adobo/train_007780.jpg', '/ifood/adobo/train_007962.jpg', '/ifood/adobo/train_007932.jpg', '/ifood/adobo/train_008031.jpg', '/ifood/adobo/train_008049.jpg', '/ifood/adobo/train_008110.jpg', '/ifood/adobo/train_007889.jpg', '/ifood/adobo/train_008064.jpg', '/ifood/adobo/train_007761.jpg']	win	4
0iv2hqsg_r00_s1_p005	40	0iv2hqsg	r00	image_p40743	image	/birds/Gadwall/Gadwall_0097_30893.jpg	['/birds/Gadwall/Gadwall_0088_31854.jpg', '/birds/Gadwall/Gadwall_0059_31646.jpg', '/birds/Gadwall/Gadwall_0019_30984.jpg', '/birds/Gadwall/Gadwall_0009_31847.jpg', '/birds/Gadwall/Gadwall_0040_31788.jpg', '/birds/Gadwall/Gadwall_0055_30912.jpg', '/birds/Gadwall/Gadwall_0034_31212.jpg', '/birds/Gadwall/Gadwall_0047_31360.jpg', '/birds/Gadwall/Gadwall_0086_31346.jpg', '/birds/Gadwall/Gadwall_0066_31557.jpg', '/birds/Gadwall/Gadwall_0031_30935.jpg']	win	5
0iv2hqsg_r01_s1_p000	41	0iv2hqsg	r01	image_p24362	image	/ifood/macaron/train_059393.jpg	['/ifood/macaron/train_059498.jpg', '/ifood/macaron/train_059476.jpg', '/ifood/macaron/train_059909.jpg', '/ifood/macaron/train_059889.jpg', '/ifood/macaron/train_059745.jpg', '/ifood/macaron/train_059572.jpg', '/ifood/macaron/train_059640.jpg', '/ifood/macaron/train_059882.jpg', '/ifood/macaron/train_059681.jpg', '/ifood/macaron/train_059459.jpg', '/ifood/macaron/train_059912.jpg']	win	0
0iv2hqsg_r01_s1_p001	29	0iv2hqsg	r01	image_p39397	image	/birds/Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg	['/birds/Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg', '/birds/Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg']	win	1
0iv2hqsg_r01_s1_p002	21	0iv2hqsg	r01	image_p24316	image	/ifood/adobo/train_007816.jpg	['/ifood/adobo/train_007763.jpg', '/ifood/adobo/train_007926.jpg', '/ifood/adobo/train_007764.jpg', '/ifood/adobo/train_008098.jpg', '/ifood/adobo/train_007770.jpg', '/ifood/adobo/train_007818.jpg', '/ifood/adobo/train_007899.jpg', '/ifood/adobo/train_007798.jpg', '/ifood/adobo/.DS_Store', '/ifood/adobo/train_007699.jpg', '/ifood/adobo/train_008068.jpg']	win	2
0iv2hqsg_r01_s1_p003	38	0iv2hqsg	r01	image_p6412	image	/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0012_26382.jpg	['/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0028_26358.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0014_26388.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0037_26389.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0052_794608.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0038_794600.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0030_26350.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0051_794627.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0044_26393.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0043_794605.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0033_26359.jpg', '/birds/Mangrove_Cuckoo/Mangrove_Cuckoo_0009_26354.jpg']	win	3
0iv2hqsg_r01_s1_p004	40	0iv2hqsg	r01	image_p17819	image	/birds/Brewer_Blackbird/Brewer_Blackbird_0010_2269.jpg	['/birds/Brewer_Blackbird/Brewer_Blackbird_0095_2610.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0016_2225.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0099_2560.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0012_2691.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0035_2611.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0112_2340.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0026_2625.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0049_2258.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0064_2290.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0027_2329.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0087_2622.jpg']	win	4
0iv2hqsg_r01_s1_p005	19	0iv2hqsg	r01	image_p25415	image	/birds/Brewer_Blackbird/Brewer_Blackbird_0026_2625.jpg	['/birds/Brewer_Blackbird/Brewer_Blackbird_0042_2302.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0095_2610.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0115_2279.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0142_2636.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0032_2214.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0010_2269.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0035_2611.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0012_2691.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0116_2327.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0099_2560.jpg', '/birds/Brewer_Blackbird/Brewer_Blackbird_0074_2277.jpg']	win	5
0iv2hqsg_r01_s1_p006	32	0iv2hqsg	r01	image_p5318	image	/birds/Northern_Fulmar/Northern_Fulmar_0071_44146.jpg	['/birds/Northern_Fulmar/Northern_Fulmar_0038_43846.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0103_44062.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0008_43647.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0033_43794.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0053_43843.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0010_44112.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0037_43712.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0036_43718.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0091_44120.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0012_44131.jpg', '/birds/Northern_Fulmar/Northern_Fulmar_0070_43916.jpg']	win	6
