clip_identifier	TranscriptId	transcript	start_timestamp_ms	end_timestamp_ms	speaker_id	match_id	round
0fsyqs6d_r00_s0_p002	transid-3542362ad35916e1-001668190403156	"Ah, like one wing is totally open and one wing is like some kind of"	56495	59955	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-73cb0fb09e7b9b5f-001668190403724		59955	60955	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-f6fe72f3684a1301-001668190403963	"Yeah,"	60000	60260	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-b44e76448b667abb-001668190404683		60500	61000	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-f7064f103adc512e-001668365385763	Okay	0	625	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-8246d9e3ff4f5bff-001668365387225	Okay this image of white dog 	3028	5268	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-b2bfe68ec28e7ad3-001668365387554	that's a	5760	6760	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-8246d9e3ff4f57c6-001668365387875	the ground	6984	8008	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-e736e4a106ee44ed-001668365388485	hmm	8825	9380	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-60b0bef1402a91da-001668365389058	and this nothing else except top and the back of the dog we can see	9300	14327	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-ac44d756d51c598a-001668365389940	light	14605	14988	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-37d2cb7f89237c1e-001668365390514	glass I think but it's blurr	15455	17908	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-8818b2356fbc5ed8-001668365390781	not exactly visible	18305	19305	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-37d2cb7f8923734b-001668365391086	it is written something a I'm the picture 	19218	21008	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-5885462e3bbb1f14-001668365391476	yes yes 	20948	21938	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p003	transid-a96c87d86ca95cd3-001668365391972	ya okay	22578	23000	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-93fea4c2876a70e6-001668280062672	Done!	0	295	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-4c9960e9ff6f6b19-001668280063909	Yeah!	440	765	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-37c1fcc8dac3e7e6-001668280064430	Next?	2025	2635	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-d0645d639b79fdaa-001668280065135	Okay  	3905	4450	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-444787c7d592ba7e-001668280066852	This is a kind of food item. I'm not sure what it is. It's kind of flower thing. okay 	5462	10934	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-df90ed42f3053cbf-001668280068070	which is placed in a bowl and	11525	14380	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-57499966e3ac4f4e-001668280068917	on that item we have some honey or oil something like that.	15458	19080	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-36f61702e4190dcc-001668280069499	Are there so many items are only one bowl?	20720	24245	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-ec1e10ac99ddf48f-001668280070426	"One bowl, only just one bowl."	24460	26045	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-9455a3c4cd077675-001668280070947	White bowl  	26774	27580	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p004	transid-217e32865733b2c9-001668280071538	The picture is clicked so close to that food.  	28610	30760	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-14869a14cda3c7f3-001668470099873	Okay done!	240	895	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-9cae7f3bd5c8e923-001668470100136	Yeah.	980	1265	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-693941047cdd0745-001668470100390	Okay	3522	4100	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-da1cd15264225bc9-001668470100637	"next,"	4260	4632	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-37ba68abf16b5f91-001668470100876	There is a image of a dog.	5325	6777	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-46afbe31daf79c41-001668470101108	"So, color of a dog is total black"	7050	9227	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-e398f39ebad8b2cb-001668470101554	and in front of a dog there is a pink color doll actually doll is there.	9949	13960	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p005	transid-4f7ff2db24e544f9-001668470101770	"Yeah, okay got it!"	14515	15515	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p006	transid-b7ce109fd34625b5-001668384648884	Okay.	2525	3470	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p006	transid-a4f47e0242b7ddb6-001668384649144	"So, this is  image of a dog."	4145	6530	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p006	transid-01013b47b26e7867-001668384649402	and also we can see a slight a view of a head of human	7210	12390	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p006	transid-dd52581195c1cb4f-001668384649882	like it the human is kissing the dog.	12930	15115	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p006	transid-871a5469c3e59590-001668384650113	yeah got it.	15520	16000	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-816c35f5bc325522-001668387591908	Ok	3220	3969	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-9c77a1b60ce3e8ac-001668387592444	So there is a dog of not totally white	6260	9830	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-0200968c00e5d6d6-001668387592942	light light white so like it's leaning on some kind of thing.	10220	14624	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-ba227f96e5397ddf-001668387593399	Is it brown?	13925	15025	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-57ed0bcee2886911-001668387593823	"No not exactly light brown I think, Yeah."	15300	17955	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-42f90f8168dc8a6e-001668387594221	"Okay, okay"	18465	19180	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-847e8ff41267888f-001668387594593	The ears are totally black and the front face is off black color.	18910	22945	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-f6d64187b431c204-001668387594948	Ok like it's	23975	24965	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-88fa6c5f44566e54-001668387595284	Is it leaning on something?	24835	26259	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-f926f956aa4bbd86-001668387595605	Yes it is leaning on some kind of what	26050	28000	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p007	transid-41d4e8783eb6e852-001668387596206	Yeah.	27665	28000	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p008	transid-aa622e4be9915142-001668554417836		0	374	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p008	transid-40b5f8f028746a6c-001668554418783	yeah	354	699	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p008	transid-9ca8052817db10e0-001668554419487	Ok it's an image of a bird standing on a stick I think exactly the tree branch	3390	9064	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p008	transid-02cabfa7c949d290-001668554420408	It's a kind of white stick uh	9389	11444	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p008	transid-af0e822ae825555e-001668554420700	Ok background the total background is blurred and	12314	15427	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p008	transid-bc61416c63e0869a-001668554421276	wide beak?	14812	15952	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p008	transid-04f8c58ddc36f5cb-001668554421851	yeah	15827	16535	Speaker0	0fsyqs6d	r00
0g17psc4_r02_s0_p000	transid-761473faf3a83791-001668355531718	ok	2905	3239	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-4098301fdf375e9f-001668355532330	ok	3455	4095	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-22439866aa7fd6e4-001668355532922	It is a	4725	5925	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-adff2ff7435ecbdf-001668355533506	It is a subject	7435	8370	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-aba22297431cafb6-001668355534189	Ok let's start it's a subject	8710	11300	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-918714005853d69f-001668355534776	It has school studies	11725	13555	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-9725034f35760d9e-001668355535295	um	12930	13515	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-93877320ecc8e69c-001668355536083	ok	14225	14770	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-602043031fefec26-001668355536713	and	16124	16789	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-1a438a31d03b577a-001668355537447	what are the subjects we have	17605	19090	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-e99c4ed642c167c6-001668355538186	in the school?	20545	21360	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-b828c177e0a964a4-001668355538740	uh we use to study 6 subjects	21825	25484	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-07edf24e4d94de65-001668355539291	mainly mainly in the 10th class where you get into the	24765	28105	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-4098301fdf375c61-001668355539973	field of science ok	29075	30545	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-712d668f9db18020-001668355540300	Sorry you get into the field of science	30995	33795	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-e7ec8664816dce24-001668355541000	Social?	34840	35595	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-aba22297431cae4a-001668355541667	What what science in the field of science. What are the subjects in the field of science?	35724	40015	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-918714005853d2f9-001668355542095	um	40880	41975	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-352f97c38c54f3c3-001668355542684	"physics, physical science and natural science."	42420	45165	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-9329c66846c31d79-001668355543330	Ok	45455	46040	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-66c58b474673f6ba-001668355543859	In that what are the important	47224	49935	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-8d6dbfa31fdb0ce2-001668355544450	items	50635	51365	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-e99c4ed642c1601b-001668355545063	like?	51795	52120	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-2b9b2a7103d83401-001668355545364	um	54645	55620	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-ebbf4c44ae9fd0a4-001668355545663	Are you talking about uh practical things practical manner I think uh	56995	62199	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-761473faf3a83d00-001668355546187		62429	63705	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-2a1278d90a9ade30-001668355546485	I'll expecting so	64380	65275	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-712d668f9db18e2a-001668355547048	Ok atoms.	65845	67045	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-22439866aa7fd9bb-001668355547311	uh yeah in this in this similar way	67750	69535	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-e7ec8664816dc1a0-001668355547566	um	69865	70344	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-50f6b876f9c4e9ea-001668355547871	we get	73105	73685	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-ce7e12d1ed68c735-001668355548618	light from it	74345	75045	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-3d2f0a529ac54d37-001668355549190	what it is?	75905	76664	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-602043031fefebf4-001668355549815	It passes through wires	77920	79225	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-290fe7c02dea6688-001668355550366	wire?	81650	82300	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-4f69ae62fda78424-001668355550808	Electrons	83020	84279	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-ebbf4c44ae9fdbce-001668355551550	passes through wire	83315	84415	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-4830b0f226e6d311-001668355551811	yeah	84745	85135	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-504a660b8a310a6c-001668355552398	electrons electrons?	85432	87032	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-22439866aa7fd963-001668355552943	yeah	86722	87263	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p000	transid-adff2ff7435ec515-001668355553281	yeah	87522	87862	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-07b3e906f97379be-001668510534956	Did you use a pen uh which	4960	6765	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-88187dbdb39a669a-001668510535196	"which has a clicks,"	7644	8710	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-88187dbdb39a6209-001668510535503	clicking pen?	9300	9985	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-07b3e906f9737b24-001668510535741	Yes.	10140	10731	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-6284645e1d796663-001668510535981	"Uh, so in the front part, there is"	11470	13915	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-9eb02ba9e23892a1-001668510536513	a refill and there is some	14305	15880	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-6284645e1d796f44-001668510537116	Ball pen?	15690	16345	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-6284645e1d796eb6-001668510537595		16250	16730	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-ddec220a194bfa72-001668510537834		17445	18220	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-01fdfd71cc825963-001668510538233	"No no, there is an item, with that it is"	19040	21925	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-6284645e1d796d9a-001668510538883	Spring?	21100	21730	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p001	transid-9eb02ba9e2389d2d-001668510539199	Yeah.	22330	22660	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-331df780a54f378c-001668121077127	Ok.	3150	3669	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-275537e65604a483-001668121078163	He is a very famous personality	9790	11500	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-a197116acd43b662-001668121079064	Ok.	11695	12220	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-50013a9c93d99bb5-001668121079613	and he is very	12889	13889	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-16ded656c21c20d7-001668121080361		13889	14400	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-3a1618904ad331fb-001668121080596	person I mean he is very muscular.	14400	16700	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-b2c0e9d8832d659d-001668121081047	Ok.	17919	18405	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-efc1dc16e5dab82b-001668121081479	And he works for a UFC and WWE.	18285	21475	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-e8f3f4c39d18b806-001668121081884	And	25300	26040	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-f7e3d814f17be443-001668121082081	UFC and WW and	26965	29106	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-ac02e4b56eb23475-001668121082277	He was the former	31105	32440	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-d3e9516e691fa64d-001668121082461	Undertaker?	33055	33900	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-b44ad8cf349dca6e-001668121082648	"No, no, yeah exactly but if"	35160	37650	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-b8f11dc21b4d3773-001668121083004	John Cena?	37650	38650	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-9c0d545bee0bebd4-001668121082828		37650	38650	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-fd75a3dabd8321a8-001668121083517	"No, another name he also fought with him. But he is very dangerous person."	39365	43485	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-4e132f09fd9d95f6-001668121083682	"Undertaker, John Cena and"	46195	48425	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-a1105fca15cb7f09-001668121083843		48425	49425	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-bc2b7d23e46f0d55-001668121084165	"There is, similar to John Cena, he will be similar to John Cena but very fat."	52190	56300	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-a268239d95d5337e-001668121084468	His moves is F5 German suplex.	57720	60570	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-ba497d1b0d669ebd-001668121084904	"Blub,  Black Lesnar?"	63794	65319	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-1186be549f3f3a81-001668121085466	"Yeah, Ok."	66270	66860	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-42abd8d9098c11b0-001668121085860	What his name?	68274	68860	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-5694068279c03f67-001668121086117	 Black Lesnar?	69105	70105	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-c62fd0fd9b204ed6-001668121086243	"No, no"	71105	71450	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-a829658925d8fee9-001668121086367	" Brock Lesnar, sorry."	71630	72900	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p002	transid-e7af84a144f9be76-001668121086612	Yeah.	73370	73970	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-3261ef49457cf8ad-001668521196935	Okay.	2075	2420	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-2758e7a0054e8564-001668521197285	"So,"	3885	4310	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-de76fbfe8b88fee8-001668521197654	did you see mummy movie?	6420	7640	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-344f90b6e97159ce-001668521198234	Yes.	7930	8700	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-c0d3110b54d73372-001668521198865	"Yeah,"	9484	9815	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-a4425837bd9752ce-001668521199108	"so where it, where it happened?"	11449	13075	Speaker0	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-a0852e4d0e80ee5a-001668521199385	"uh It happens in the um,"	13915	16585	Speaker1	0g17psc4	r02
0g17psc4_r02_s0_p003	transid-15365264f948e5fd-001668521199671	in which Country?	17760	18665	Speaker0	0g17psc4	r02
